Program Date 	Film Title 	Director 	Year
  	A Woman of Nerve 	Belmont, Joseph 	1915
5/28/57 	The Good Fairy 	Wyler, William 	1935
  	Tom Brown of Culver 	Wyler, William 	1932
6/18/57 	The King on Main Street 	Bell, Monta 	1925
  	A Message to Garcia 	Ridgely, Richard 	1916
6/25/57 	Orchids and Ermine 	Santell, Alfred 	1927
  	Sweet Alyssum 	Campbell, Colin 	1915
7/3/57 	1776, or The Hessian Renegades 	Griffith, D.W. 	1909
  	America 	Griffith, D.W. 	1924
7/16/57 	Crazy Like a Fox 	McCarey, Leo 	1926
  	The Hunchback of Notre Dame 	Worsley, Wallace 	1923
  	The Man Who Laughs 	Leni, Paul 	1928
7/23/57 	The Lion's Whiskers 	Sennett, Mack 	1924
  	The Phantom of the Opera 	Julian, Rupert 	1925
  	Saturday Afternoon 	Edwards, Harry 	1926
  	Whispering Whiskers 	Sennett, Mack 	1926
8/20/57 	His Wooden Wedding 	McCarey, Leo 	1925
  	Lucrezia Borgia 	Oswald, Richard 	1922
8/27/57 	The Conquest of the North Pole [A la Conquête du pôle] 	Méliès, Georges 	1912
  	The Love Story of the Inventor of an Aerial Torpedo [AKA Possibilities of Future War in the Air] 	  	1910
  	Metropolis 	Lang, Fritz 	1926
  	Things to Come 	Menzies, William Cameron 	1936
  	Transatlantic Tunnel 	Elvey, Maurice 	1935
9/17/57 	Cinderella [Der Verlorene Shuh] 	Berger, Ludwig 	1923
  	The Passing of the Third Floor Back 	Brenon, Herbert 	1917
  	Tiger Rose 	Franklin, Sidney 	1923
9/24/57 	California Straight Ahead 	Pollard, Harry 	1925
  	The Leatherneck 	Higgin, Howard 	1929
10/15/57 	The Birth of a Nation 	Griffith, D.W. 	1915
10/22/57 	Cleopatra 	Gaskill, Charles L 	1912
  	Hearts and Flowers 	Cline, Edward 	1917
  	Spies [Spione] 	Lang, Fritz 	1928
11/19/57 	The Fixer-Uppers 	Rogers, Charles 	1935
  	Raffles 	Irving, George 	1917
  	Slipping Wives 	Guiol, Fred 	1927
  	What Drink Did 	Griffith, D.W. 	1909
11/26/57 	Corsair 	West, Roland 	1931
  	L'Argent [Money] 	L'herbier, Marcel 	1929
  	Zampa 	Forde, Eugene 	1930
12/17/57 	Down to the Sea in Ships 	Clifton, Elmer 	1922
  	Movie Night 	Foster, Lewis 	1929
  	Pass the Gravy 	Guiol, Fred 	1928
12/23/57 	The Garden of Eden 	Milestone, Lewis 	1928
  	The Primal Call 	Griffith, D.W. 	1911
  	The Switchtower 	Edwards, Walter 	1915
1/21/58 	Big Business 	Horne, James W. 	1929
  	Call of the Cuckoo 	Bruckman, Clyde 	1927
  	Double Whoopee 	Foster, Lewis 	1929
  	Helpmates 	Parrott, James 	1931
